ds,y,is_weekend,month,disease_severity,location
2017-06-12,3,0,6,1.4827586206896552,Ludhiana Central
2017-06-13,3,0,6,1.4827586206896552,Ludhiana Central
2017-06-14,3,0,6,1.4827586206896552,Ludhiana Central
2017-06-15,2,0,6,1.4827586206896552,Ludhiana Central
2017-06-16,2,0,6,1.4827586206896552,Ludhiana Central
2017-06-17,2,1,6,1.4827586206896552,Ludhiana Central
2017-06-18,2,1,6,1.4827586206896552,Ludhiana Central
2017-06-19,1,0,6,1.4827586206896552,Ludhiana Central
2017-06-20,1,0,6,1.4827586206896552,Ludhiana Central
2017-06-21,1,0,6,1.4827586206896552,Ludhiana Central
2017-06-22,1,0,6,1.4827586206896552,Ludhiana Central
2017-06-23,0,0,6,1.4827586206896552,Ludhiana Central
2017-06-24,0,1,6,1.4827586206896552,Ludhiana Central
2017-06-25,0,1,6,1.5,Ludhiana Central
2017-06-26,0,0,6,1.5,Ludhiana Central
2017-06-27,0,0,6,1.5,Ludhiana Central
2017-06-28,0,0,6,1.5,Ludhiana Central
2017-06-29,1,0,6,1.5,Ludhiana Central
2017-06-30,1,0,6,1.5,Ludhiana Central
2017-07-01,1,1,7,1.5,Ludhiana Central
2017-07-02,2,1,7,1.5,Ludhiana Central
2017-07-03,2,0,7,1.5,Ludhiana Central
2017-07-04,2,0,7,1.5,Ludhiana Central
2017-07-05,3,0,7,1.4827586206896552,Ludhiana Central
2017-07-06,6,0,7,1.5,Ludhiana Central
2017-07-07,6,0,7,1.5,Ludhiana Central
2017-07-08,4,1,7,1.5,Ludhiana Central
2017-07-09,0,1,7,1.5,Ludhiana Central
2017-07-10,6,0,7,1.4482758620689655,Ludhiana Central
2017-07-11,5,0,7,1.5,Ludhiana Central
2017-07-12,8,0,7,1.5,Ludhiana Central
2017-07-13,8,0,7,1.5,Ludhiana Central
2017-07-14,8,0,7,1.5,Ludhiana Central
2017-07-15,7,1,7,1.5,Ludhiana Central
2017-07-16,7,1,7,1.5,Ludhiana Central
2017-07-17,7,0,7,1.5,Ludhiana Central
2017-07-18,7,0,7,1.5,Ludhiana Central
2017-07-19,6,0,7,1.5,Ludhiana Central
2017-07-20,6,0,7,1.5,Ludhiana Central
2017-07-21,6,0,7,1.5,Ludhiana Central
2017-07-22,6,1,7,1.5,Ludhiana Central
2017-07-23,6,1,7,1.5,Ludhiana Central
2017-07-24,5,0,7,1.5,Ludhiana Central
2017-07-25,5,0,7,1.5,Ludhiana Central
2017-07-26,5,0,7,1.5,Ludhiana Central
2017-07-27,5,0,7,1.5,Ludhiana Central
2017-07-28,5,0,7,1.5,Ludhiana Central
2017-07-29,4,1,7,1.5,Ludhiana Central
2017-07-30,4,1,7,1.5,Ludhiana Central
2017-07-31,4,0,7,1.5,Ludhiana Central
2017-08-01,4,0,8,1.5,Ludhiana Central
2017-08-02,3,0,8,1.5,Ludhiana Central
2017-08-03,3,0,8,1.5,Ludhiana Central
2017-08-04,3,0,8,1.5,Ludhiana Central
2017-08-05,10,1,8,1.5,Ludhiana Central
2017-08-06,11,1,8,1.5,Ludhiana Central
2017-08-07,5,0,8,1.5,Ludhiana Central
2017-08-08,4,0,8,1.4482758620689655,Ludhiana Central
2017-08-09,6,0,8,1.5,Ludhiana Central
2017-08-10,5,0,8,1.5,Ludhiana Central
2017-08-11,6,0,8,1.5,Ludhiana Central
2017-08-12,5,1,8,1.5,Ludhiana Central
2017-08-13,4,1,8,1.5,Ludhiana Central
2017-08-14,4,0,8,1.5,Ludhiana Central
2017-08-15,3,0,8,1.5,Ludhiana Central
2017-08-16,2,0,8,1.5,Ludhiana Central
2017-08-17,1,0,8,1.5,Ludhiana Central
2017-08-18,1,0,8,1.5,Ludhiana Central
2017-08-19,0,1,8,1.5,Ludhiana Central
2017-08-20,0,1,8,1.5,Ludhiana Central
2017-08-21,0,0,8,1.5,Ludhiana Central
2017-08-22,0,0,8,1.5,Ludhiana Central
2017-08-23,0,0,8,1.5,Ludhiana Central
2017-08-24,0,0,8,1.5,Ludhiana Central
2017-08-25,0,0,8,1.5,Ludhiana Central
2017-08-26,0,1,8,1.5,Ludhiana Central
2017-08-27,0,1,8,1.5,Ludhiana Central
2017-08-28,1,0,8,1.5,Ludhiana Central
2017-08-29,2,0,8,1.5,Ludhiana Central
2017-08-30,2,0,8,1.5,Ludhiana Central
2017-08-31,3,0,8,1.5,Ludhiana Central
2017-09-01,3,0,9,1.5,Ludhiana Central
2017-09-02,4,1,9,1.5,Ludhiana Central
2017-09-03,4,1,9,1.5,Ludhiana Central
2017-09-04,5,0,9,1.5,Ludhiana Central
2017-09-05,5,0,9,1.4482758620689655,Ludhiana Central
2017-09-06,4,0,9,1.5,Ludhiana Central
2017-09-07,5,0,9,1.5,Ludhiana Central
2017-09-08,1,0,9,1.5,Ludhiana Central
2017-09-09,7,1,9,1.5,Ludhiana Central
2017-09-10,3,1,9,1.5,Ludhiana Central
2017-09-11,6,0,9,1.5,Ludhiana Central
2017-09-12,6,0,9,1.5,Ludhiana Central
2017-09-13,5,0,9,1.5,Ludhiana Central
2017-09-14,5,0,9,1.5,Ludhiana Central
2017-09-15,4,0,9,1.5,Ludhiana Central
2017-09-16,4,1,9,1.5,Ludhiana Central
2017-09-17,3,1,9,1.5,Ludhiana Central
2017-09-18,2,0,9,1.5,Ludhiana Central
2017-09-19,2,0,9,1.5,Ludhiana Central
2017-09-20,1,0,9,1.5,Ludhiana Central
2017-09-21,1,0,9,1.5,Ludhiana Central
2017-09-22,1,0,9,1.5,Ludhiana Central
2017-09-23,3,1,9,1.5,Ludhiana Central
2017-09-24,1,1,9,1.5,Ludhiana Central
2017-09-25,4,0,9,1.5,Ludhiana Central
2017-09-26,2,0,9,1.5,Ludhiana Central
2017-09-27,2,0,9,1.5,Ludhiana Central
2017-09-28,0,0,9,1.5,Ludhiana Central
2017-09-29,0,0,9,1.5,Ludhiana Central
2017-09-30,0,1,9,1.5,Ludhiana Central
2017-10-01,1,1,10,1.5,Ludhiana Central
2017-10-02,3,0,10,1.5,Ludhiana Central
2017-10-03,5,0,10,1.5,Ludhiana Central
2017-10-04,3,0,10,1.5,Ludhiana Central
2017-10-05,8,0,10,1.4482758620689655,Ludhiana Central
2017-10-06,4,0,10,1.5,Ludhiana Central
2017-10-07,6,1,10,1.5,Ludhiana Central
2017-10-08,1,1,10,1.5,Ludhiana Central
2017-10-09,5,0,10,1.5,Ludhiana Central
2017-10-10,6,0,10,1.5,Ludhiana Central
2017-10-11,4,0,10,1.4482758620689655,Ludhiana Central
2017-10-12,8,0,10,1.5,Ludhiana Central
