date,location,admission_count,disease_severity,is_weekend,is_holiday,year,month,day,day_of_week,day_of_year,week_of_year,quarter,population,admissions_per_100k
2017-04-11,Ludhiana South,8,1.5,0,0,2017,4,11,1,101,15,2,500000.0,1.5999999999999999
2017-04-11,Punjab Urban,8,1.5,0,0,2017,4,11,1,101,15,2,500000.0,1.5999999999999999
2017-04-12,Ludhiana Central,5,1.5,0,0,2017,4,12,2,102,15,2,500000.0,1.0
2017-04-12,Ludhiana South,6,1.5,0,0,2017,4,12,2,102,15,2,500000.0,1.2
2017-04-12,Punjab Urban,8,1.5,0,0,2017,4,12,2,102,15,2,500000.0,1.5999999999999999
2017-04-22,Ludhiana Central,0,1.5,1,0,2017,4,22,5,112,16,2,500000.0,0.0
2017-04-22,Ludhiana South,0,1.5,1,0,2017,4,22,5,112,16,2,500000.0,0.0
2017-04-22,Punjab Urban,1,1.5,1,0,2017,4,22,5,112,16,2,500000.0,0.19999999999999998
2017-04-23,Ludhiana Central,0,1.5,1,0,2017,4,23,6,113,16,2,500000.0,0.0
2017-04-23,Ludhiana South,1,1.5,1,0,2017,4,23,6,113,16,2,500000.0,0.19999999999999998
2017-04-23,Punjab Urban,1,1.5,1,0,2017,4,23,6,113,16,2,500000.0,0.19999999999999998
2017-04-24,Ludhiana Central,0,1.5,0,0,2017,4,24,0,114,17,2,500000.0,0.0
2017-04-24,Ludhiana South,0,1.5,0,0,2017,4,24,0,114,17,2,500000.0,0.0
2017-04-24,Punjab Urban,1,1.5,0,0,2017,4,24,0,114,17,2,500000.0,0.19999999999999998
2017-05-04,Ludhiana Central,1,1.5,0,0,2017,5,4,3,124,18,2,500000.0,0.19999999999999998
2017-05-04,Ludhiana South,2,1.5,0,0,2017,5,4,3,124,18,2,500000.0,0.39999999999999997
2017-05-04,Punjab Urban,4,1.5,0,0,2017,5,4,3,124,18,2,500000.0,0.7999999999999999
2017-05-05,Ludhiana Central,3,1.5,0,0,2017,5,5,4,125,18,2,500000.0,0.6
2017-05-05,Ludhiana South,7,1.5,0,0,2017,5,5,4,125,18,2,500000.0,1.4
2017-05-05,Punjab Urban,4,1.4642857142857142,0,0,2017,5,5,4,125,18,2,500000.0,0.7999999999999999
2017-05-06,Ludhiana Central,9,1.4827586206896552,1,0,2017,5,6,5,126,18,2,500000.0,1.8
2017-05-06,Ludhiana South,5,1.4827586206896552,1,0,2017,5,6,5,126,18,2,500000.0,1.0
2017-05-06,Punjab Urban,6,1.4482758620689655,1,0,2017,5,6,5,126,18,2,500000.0,1.2
2017-05-07,Ludhiana Central,8,1.5,1,0,2017,5,7,6,127,18,2,500000.0,1.5999999999999999
2017-05-07,Ludhiana South,7,1.5,1,0,2017,5,7,6,127,18,2,500000.0,1.4
2017-05-07,Punjab Urban,12,1.5,1,0,2017,5,7,6,127,18,2,500000.0,2.4
2017-05-08,Ludhiana Central,7,1.5,0,0,2017,5,8,0,128,19,2,500000.0,1.4
2017-05-08,Ludhiana South,6,1.5,0,0,2017,5,8,0,128,19,2,500000.0,1.2
2017-05-08,Punjab Urban,7,1.5,0,0,2017,5,8,0,128,19,2,500000.0,1.4
2017-05-09,Ludhiana Central,7,1.5,0,0,2017,5,9,1,129,19,2,500000.0,1.4
2017-05-09,Ludhiana South,6,1.5,0,0,2017,5,9,1,129,19,2,500000.0,1.2
2017-05-09,Punjab Urban,8,1.5,0,0,2017,5,9,1,129,19,2,500000.0,1.5999999999999999
2017-05-10,Ludhiana Central,6,1.5,0,0,2017,5,10,2,130,19,2,500000.0,1.2
2017-05-10,Ludhiana South,2,1.4482758620689655,0,0,2017,5,10,2,130,19,2,500000.0,0.39999999999999997
2017-05-10,Punjab Urban,9,1.5,0,0,2017,5,10,2,130,19,2,500000.0,1.8
2017-05-11,Ludhiana Central,4,1.5,0,0,2017,5,11,3,131,19,2,500000.0,0.7999999999999999
2017-05-11,Ludhiana South,7,1.5,0,0,2017,5,11,3,131,19,2,500000.0,1.4
2017-05-11,Punjab Urban,4,1.5,0,0,2017,5,11,3,131,19,2,500000.0,0.7999999999999999
2017-05-12,Ludhiana Central,9,1.5,0,0,2017,5,12,4,132,19,2,500000.0,1.8
2017-05-12,Ludhiana South,10,1.5,0,0,2017,5,12,4,132,19,2,500000.0,2.0
2017-05-12,Punjab Urban,11,1.5,0,0,2017,5,12,4,132,19,2,500000.0,2.1999999999999997
2017-06-04,Ludhiana Central,5,1.5,1,0,2017,6,4,6,155,22,2,500000.0,1.0
2017-06-04,Ludhiana South,0,1.5,1,0,2017,6,4,6,155,22,2,500000.0,0.0
2017-06-04,Punjab Urban,6,1.5,1,0,2017,6,4,6,155,22,2,500000.0,1.2
2017-06-05,Ludhiana Central,5,1.5,0,0,2017,6,5,0,156,23,2,500000.0,1.0
2017-06-05,Ludhiana South,7,1.5,0,0,2017,6,5,0,156,23,2,500000.0,1.4
2017-06-05,Punjab Urban,4,1.5,0,0,2017,6,5,0,156,23,2,500000.0,0.7999999999999999
2017-06-06,Ludhiana Central,8,1.5,0,0,2017,6,6,1,157,23,2,500000.0,1.5999999999999999
2017-06-06,Ludhiana South,5,1.4827586206896552,0,0,2017,6,6,1,157,23,2,500000.0,1.0
2017-06-06,Punjab Urban,6,1.5,0,0,2017,6,6,1,157,23,2,500000.0,1.2
2017-06-07,Ludhiana Central,5,1.5,0,0,2017,6,7,2,158,23,2,500000.0,1.0
2017-06-07,Ludhiana South,7,1.5,0,0,2017,6,7,2,158,23,2,500000.0,1.4
2017-06-07,Punjab Urban,5,1.4482758620689655,0,0,2017,6,7,2,158,23,2,500000.0,1.0
2017-06-08,Ludhiana Central,9,1.5,0,0,2017,6,8,3,159,23,2,500000.0,1.8
2017-06-08,Ludhiana South,2,1.5,0,0,2017,6,8,3,159,23,2,500000.0,0.39999999999999997
2017-06-08,Punjab Urban,6,1.4482758620689655,0,0,2017,6,8,3,159,23,2,500000.0,1.2
2017-06-09,Ludhiana Central,9,1.4827586206896552,0,0,2017,6,9,4,160,23,2,500000.0,1.8
2017-06-09,Ludhiana South,6,1.5,0,0,2017,6,9,4,160,23,2,500000.0,1.2
2017-06-09,Punjab Urban,5,1.5,0,0,2017,6,9,4,160,23,2,500000.0,1.0
2017-06-10,Ludhiana Central,7,1.5,1,0,2017,6,10,5,161,23,2,500000.0,1.4
2017-06-10,Ludhiana South,8,1.5,1,0,2017,6,10,5,161,23,2,500000.0,1.5999999999999999
2017-06-10,Punjab Urban,4,1.5,1,0,2017,6,10,5,161,23,2,500000.0,0.7999999999999999
2017-06-11,Ludhiana Central,5,1.5,1,0,2017,6,11,6,162,23,2,500000.0,1.0
2017-06-11,Ludhiana South,9,1.5,1,0,2017,6,11,6,162,23,2,500000.0,1.8
2017-06-11,Punjab Urban,9,1.4482758620689655,1,0,2017,6,11,6,162,23,2,500000.0,1.8
2017-06-12,Ludhiana Central,3,1.4827586206896552,0,0,2017,6,12,0,163,24,2,500000.0,0.6
2017-06-12,Ludhiana South,3,1.5,0,0,2017,6,12,0,163,24,2,500000.0,0.6
2017-06-12,Punjab Urban,4,1.5,0,0,2017,6,12,0,163,24,2,500000.0,0.7999999999999999
2017-06-25,Ludhiana Central,0,1.5,1,0,2017,6,25,6,176,25,2,500000.0,0.0
2017-06-25,Ludhiana South,2,1.5,1,0,2017,6,25,6,176,25,2,500000.0,0.39999999999999997
2017-06-25,Punjab Urban,0,1.5,1,0,2017,6,25,6,176,25,2,500000.0,0.0
2017-06-26,Ludhiana Central,0,1.5,0,0,2017,6,26,0,177,26,2,500000.0,0.0
2017-06-26,Ludhiana South,1,1.5,0,0,2017,6,26,0,177,26,2,500000.0,0.19999999999999998
2017-06-26,Punjab Urban,0,1.5,0,0,2017,6,26,0,177,26,2,500000.0,0.0
2017-07-04,Ludhiana Central,2,1.5,0,0,2017,7,4,1,185,27,3,500000.0,0.39999999999999997
2017-07-04,Ludhiana South,0,1.5,0,0,2017,7,4,1,185,27,3,500000.0,0.0
2017-07-04,Punjab Urban,4,1.5,0,0,2017,7,4,1,185,27,3,500000.0,0.7999999999999999
2017-07-05,Ludhiana Central,3,1.4827586206896552,0,0,2017,7,5,2,186,27,3,500000.0,0.6
2017-07-05,Ludhiana South,2,1.4827586206896552,0,0,2017,7,5,2,186,27,3,500000.0,0.39999999999999997
2017-07-05,Punjab Urban,10,1.5,0,0,2017,7,5,2,186,27,3,500000.0,2.0
2017-07-06,Ludhiana Central,6,1.5,0,0,2017,7,6,3,187,27,3,500000.0,1.2
2017-07-06,Ludhiana South,7,1.4482758620689655,0,0,2017,7,6,3,187,27,3,500000.0,1.4
2017-07-06,Punjab Urban,2,1.4482758620689655,0,0,2017,7,6,3,187,27,3,500000.0,0.39999999999999997
2017-07-07,Ludhiana Central,6,1.5,0,0,2017,7,7,4,188,27,3,500000.0,1.2
2017-07-07,Ludhiana South,9,1.5,0,0,2017,7,7,4,188,27,3,500000.0,1.8
2017-07-07,Punjab Urban,6,1.4827586206896552,0,0,2017,7,7,4,188,27,3,500000.0,1.2
2017-07-08,Ludhiana Central,4,1.5,1,0,2017,7,8,5,189,27,3,500000.0,0.7999999999999999
2017-07-08,Ludhiana South,5,1.5,1,0,2017,7,8,5,189,27,3,500000.0,1.0
2017-07-08,Punjab Urban,9,1.5,1,0,2017,7,8,5,189,27,3,500000.0,1.8
2017-07-09,Ludhiana Central,0,1.5,1,0,2017,7,9,6,190,27,3,500000.0,0.0
2017-07-09,Ludhiana South,4,1.5,1,0,2017,7,9,6,190,27,3,500000.0,0.7999999999999999
2017-07-09,Punjab Urban,9,1.5,1,0,2017,7,9,6,190,27,3,500000.0,1.8
2017-07-10,Ludhiana Central,6,1.4482758620689655,0,0,2017,7,10,0,191,28,3,500000.0,1.2
2017-07-10,Ludhiana South,6,1.4827586206896552,0,0,2017,7,10,0,191,28,3,500000.0,1.2
2017-07-10,Punjab Urban,6,1.5,0,0,2017,7,10,0,191,28,3,500000.0,1.2
2017-07-11,Ludhiana Central,5,1.5,0,0,2017,7,11,1,192,28,3,500000.0,1.0
2017-07-11,Ludhiana South,4,1.5,0,0,2017,7,11,1,192,28,3,500000.0,0.7999999999999999
2017-07-11,Punjab Urban,11,1.5,0,0,2017,7,11,1,192,28,3,500000.0,2.1999999999999997
2017-07-12,Ludhiana Central,8,1.5,0,0,2017,7,12,2,193,28,3,500000.0,1.5999999999999999
2017-07-12,Ludhiana South,9,1.5,0,0,2017,7,12,2,193,28,3,500000.0,1.8
2017-07-12,Punjab Urban,5,1.5,0,0,2017,7,12,2,193,28,3,500000.0,1.0
2017-08-04,Ludhiana Central,3,1.5,0,0,2017,8,4,4,216,31,3,500000.0,0.6
2017-08-04,Ludhiana South,4,1.5,0,0,2017,8,4,4,216,31,3,500000.0,0.7999999999999999
2017-08-04,Punjab Urban,4,1.5,0,0,2017,8,4,4,216,31,3,500000.0,0.7999999999999999
2017-08-05,Ludhiana Central,10,1.5,1,0,2017,8,5,5,217,31,3,500000.0,2.0
2017-08-05,Ludhiana South,6,1.5,1,0,2017,8,5,5,217,31,3,500000.0,1.2
2017-08-05,Punjab Urban,8,1.5,1,0,2017,8,5,5,217,31,3,500000.0,1.5999999999999999
2017-08-06,Ludhiana Central,11,1.5,1,0,2017,8,6,6,218,31,3,500000.0,2.1999999999999997
2017-08-06,Ludhiana South,5,1.5,1,0,2017,8,6,6,218,31,3,500000.0,1.0
2017-08-06,Punjab Urban,5,1.4827586206896552,1,0,2017,8,6,6,218,31,3,500000.0,1.0
2017-08-07,Ludhiana Central,5,1.5,0,0,2017,8,7,0,219,32,3,500000.0,1.0
2017-08-07,Ludhiana South,7,1.5,0,0,2017,8,7,0,219,32,3,500000.0,1.4
2017-08-07,Punjab Urban,7,1.5,0,0,2017,8,7,0,219,32,3,500000.0,1.4
2017-08-08,Ludhiana Central,4,1.4482758620689655,0,0,2017,8,8,1,220,32,3,500000.0,0.7999999999999999
2017-08-08,Ludhiana South,7,1.5,0,0,2017,8,8,1,220,32,3,500000.0,1.4
2017-08-08,Punjab Urban,8,1.5,0,0,2017,8,8,1,220,32,3,500000.0,1.5999999999999999
2017-08-09,Ludhiana Central,6,1.5,0,0,2017,8,9,2,221,32,3,500000.0,1.2
